x, y, th, stamp, 
0.17827586829662323, -4.0465192794799805, -1.9529573560803206, 1770075791619651639, 
0.17827586829662323, -4.0465192794799805, -1.9529573560803206, 1770075791669400507, 
0.17827586829662323, -4.0465192794799805, -1.9529573560803206, 1770075791719509042, 
0.17827586829662323, -4.0465192794799805, -1.9529573560803206, 1770075791769230376, 
0.17827586829662323, -4.0465192794799805, -1.9529573560803206, 1770075791819025643, 
0.17827586829662323, -4.0465192794799805, -1.9529573560803206, 1770075791879131712, 
0.17827586829662323, -4.0465192794799805, -1.9529573560803206, 1770075791909186650, 
0.17827586829662323, -4.0465192794799805, -1.9529573560803206, 1770075791978910248, 
0.17827586829662323, -4.0465192794799805, -1.9529573560803206, 1770075792019122342, 
0.17827586829662323, -4.0465192794799805, -1.9529573560803206, 1770075792068807989, 
0.17727592587471008, -4.0488057136535645, -1.949005297913912, 1770075792119560840, 
0.1754782497882843, -4.053683280944824, -1.9453949955408238, 1770075792169008911, 
0.17298807203769684, -4.060453414916992, -1.9405049799081633, 1770075792220351188, 
0.16906940937042236, -4.071089744567871, -1.9333572744475418, 1770075792279172162, 
0.16688211262226105, -4.077437400817871, -1.92855386588339, 1770075792309293646, 
0.16061706840991974, -4.095373630523682, -1.9164369985285827, 1770075792380202147, 
0.15665724873542786, -4.107719898223877, -1.9080771862708492, 1770075792418780220, 
0.15095895528793335, -4.124381065368652, -1.8958206506111266, 1770075792469111456, 
0.1453387439250946, -4.143136978149414, -1.8826379586270812, 1770075792519121562, 
0.13913799822330475, -4.162985801696777, -1.8695905066904068, 1770075792569015179, 
0.13227234780788422, -4.18703031539917, -1.8586104575778686, 1770075792629122285, 
0.12657058238983154, -4.2068986892700195, -1.8481229539294188, 1770075792680521035, 
0.1215498223900795, -4.227011680603027, -1.8381641752162017, 1770075792728731789, 
0.11659879237413406, -4.246805191040039, -1.8269226532638325, 1770075792779768375, 
0.1130109652876854, -4.262250900268555, -1.8163571132760121, 1770075792820050613, 
0.10850851982831955, -4.282196998596191, -1.8014250318892957, 1770075792870128229, 
0.10439769178628922, -4.301618576049805, -1.7868731545417316, 1770075792919004879, 
0.10048604011535645, -4.321664333343506, -1.7734640009461922, 1770075792969039681, 
0.0972587838768959, -4.341246128082275, -1.7580566729676876, 1770075793019949465, 
0.09477517008781433, -4.357429027557373, -1.744666457949811, 1770075793059386051, 
0.09100905805826187, -4.385265350341797, -1.7227045652214013, 1770075793129408232, 
0.08832194656133652, -4.404782772064209, -1.704537384760273, 1770075793179248831, 
0.08679970353841782, -4.420820236206055, -1.6893031626663255, 1770075793219101318, 
0.08508584648370743, -4.440566539764404, -1.6725480280595, 1770075793269952406, 
0.08356089890003204, -4.460461139678955, -1.6589000654990738, 1770075793318958759, 
0.08238052576780319, -4.4805908203125, -1.6454409301101929, 1770075793369303615, 
0.0814809501171112, -4.50046968460083, -1.6298033324550525, 1770075793420249167, 
0.0805780291557312, -4.524528503417969, -1.6093506567834885, 1770075793478837742, 
0.08042297512292862, -4.536384582519531, -1.5992913042247872, 1770075793509682700, 
0.0803975909948349, -4.564237594604492, -1.5746789500087262, 1770075793578609417, 
0.08083698898553848, -4.579582691192627, -1.5608677963502497, 1770075793619252062, 
0.08168047666549683, -4.599108695983887, -1.541861703277095, 1770075793669138420, 
0.0826299637556076, -4.618577480316162, -1.5215695422806512, 1770075793718973170, 
0.0840793326497078, -4.637328147888184, -1.5015882371071931, 1770075793769033530, 
0.08592554926872253, -4.6563029289245605, -1.4812565861377633, 1770075793818795146, 
0.08885711431503296, -4.6795549392700195, -1.4595712346750152, 1770075793878783273, 
0.09028353542089462, -4.690853118896484, -1.4480711412305558, 1770075793909187594, 
0.09460864961147308, -4.717591762542725, -1.4180844530066599, 1770075793979275286, 
0.09713573753833771, -4.732484340667725, -1.3995711885671374, 1770075794020041483, 
0.1010919064283371, -4.75162935256958, -1.37706931719614, 1770075794069974621, 
0.10536383092403412, -4.770219326019287, -1.3550631947288247, 1770075794118982980, 
0.10993964970111847, -4.78880500793457, -1.3336033392812858, 1770075794169311130, 
0.11485154926776886, -4.806623458862305, -1.3123587006355613, 1770075794219255492, 
0.12134666740894318, -4.828403472900391, -1.2833639920311104, 1770075794279368993, 
0.1248164027929306, -4.839021682739258, -1.268489903821017, 1770075794309821279, 
0.13325141370296478, -4.863770008087158, -1.2356671994999227, 1770075794378869361, 
0.13869750499725342, -4.877846717834473, -1.217901051427844, 1770075794419078648, 
0.1455080807209015, -4.8951263427734375, -1.1917198588424258, 1770075794471019639, 
0.15301558375358582, -4.912604331970215, -1.166430294650851, 1770075794521973553, 
0.16052791476249695, -4.928548812866211, -1.1421443054934681, 1770075794567965849, 
0.1686122864484787, -4.945263385772705, -1.115010159394601, 1770075794618162370, 
0.17941193282604218, -4.965579986572266, -1.0816428170193868, 1770075794681143696, 
0.18789981305599213, -4.980803966522217, -1.054881493517013, 1770075794727903348, 
0.19759637117385864, -4.99660062789917, -1.0290530253433328, 1770075794778322836, 
0.2059636265039444, -5.009891986846924, -1.0064615454002097, 1770075794820036445, 
0.2164687067270279, -5.025470733642578, -0.9821362732356518, 1770075794870093155, 
0.22725650668144226, -5.040613174438477, -0.9574710360840841, 1770075794920196632, 
0.23801331222057343, -5.055166244506836, -0.9331389402875337, 1770075794968127954, 
0.24957112967967987, -5.0696892738342285, -0.9085048664545251, 1770075795022028890, 
0.26407817006111145, -5.0875091552734375, -0.8751288889502027, 1770075795080805358, 
0.27124446630477905, -5.0955657958984375, -0.8591601738781222, 1770075795108856824, 
