x, y, th, stamp, 
-0.28353172540664673, -5.890995025634766, -0.058590941158951526, 1770076009872014266, 
-0.2835312485694885, -5.890995979309082, -0.058584748842831685, 1770076009922157639, 
-0.28353095054626465, -5.89099645614624, -0.05858092863575599, 1770076009972004670, 
-0.2835301458835602, -5.890997409820557, -0.05857089330402629, 1770076010019340528, 
-0.2835296392440796, -5.890997886657715, -0.05856466251551749, 1770076010081086010, 
-0.2835293412208557, -5.890998363494873, -0.05856083077883162, 1770076010131418468, 
-0.2835288345813751, -5.890998840332031, -0.058554621314282615, 1770076010160063053, 
-0.28352802991867065, -5.890999794006348, -0.058544609216653686, 1770076010228976648, 
-0.2835272252559662, -5.891000747680664, -0.05853457116827533, 1770076010319955517, 
-0.28352612257003784, -5.891002178192139, -0.05852071214333861, 1770076010418627798, 
-0.2835253179073334, -5.891003131866455, -0.058510687461138314, 1770076010511754426, 
-0.28345826268196106, -5.891043186187744, -0.05805483569767724, 1770076010577675688, 
-0.28065139055252075, -5.8909912109375, -0.052744485578887376, 1770076010627948603, 
-0.27628883719444275, -5.891006946563721, -0.04528686974756556, 1770076010671144857, 
-0.26878637075424194, -5.8915839195251465, -0.03527299693551179, 1770076010721028131, 
-0.2603203058242798, -5.891249179840088, -0.023604489399397535, 1770076010770939708, 
-0.25065624713897705, -5.891072750091553, -0.009976498984480294, 1770076010818013665, 
-0.23550210893154144, -5.890026092529297, 0.013009669686654308, 1770076010881126819, 
-0.22062242031097412, -5.8897385597229, 0.0328198138954435, 1770076010929993526, 
-0.2105153501033783, -5.889279842376709, 0.04661937721650401, 1770076010960664687, 
-0.1858394294977188, -5.887280464172363, 0.07716047996159416, 1770076011028044010, 
-0.1698797345161438, -5.8857550621032715, 0.09555730172926175, 1770076011069957698, 
-0.15042448043823242, -5.8831095695495605, 0.11319630487907739, 1770076011119977286, 
-0.13126800954341888, -5.880538463592529, 0.13252413707970107, 1770076011171074193, 
-0.11287463456392288, -5.8773651123046875, 0.154559239007841, 1770076011222303351, 
-0.09565353393554688, -5.874217987060547, 0.17718472024195572, 1770076011266606618, 
-0.07222166657447815, -5.869178295135498, 0.20638170677112613, 1770076011331069634, 
-0.053693804889917374, -5.864847183227539, 0.22800362518087738, 1770076011380798133, 
-0.003463690634816885, -5.850665092468262, 0.2893087050553177, 1770076011519979275, 
0.06447158753871918, -5.825688362121582, 0.37579429632564015, 1770076011710420118, 
0.0889340192079544, -5.8152923583984375, 0.40818418220269165, 1770076011781210384, 
0.10473355650901794, -5.807844638824463, 0.4292851226263029, 1770076011827063070, 
0.1198151558637619, -5.800567150115967, 0.44942416770745397, 1770076011870976100, 
0.13664868474006653, -5.791959762573242, 0.4719300488861153, 1770076011920974763, 
0.1534522920846939, -5.782817363739014, 0.49337046254101546, 1770076011971047127, 
0.17011474072933197, -5.773368835449219, 0.5147763859349799, 1770076012020982526, 
0.18970049917697906, -5.761542320251465, 0.5402945391792743, 1770076012080267641, 
0.19939720630645752, -5.7555317878723145, 0.5540769565036704, 1770076012111016565, 
0.22103986144065857, -5.740959167480469, 0.5866280109251776, 1770076012181049870, 
0.23493672907352448, -5.731181621551514, 0.6070855926214554, 1770076012226092863, 
0.24857394397258759, -5.721059799194336, 0.6273966083869064, 1770076012271180462, 
0.26388949155807495, -5.709317684173584, 0.6490797316484981, 1770076012320049947, 
0.2786090672016144, -5.697380065917969, 0.671399299846851, 1770076012371124982, 
0.2933046817779541, -5.685054302215576, 0.6938637524530393, 1770076012421004245, 
0.31017735600471497, -5.669750213623047, 0.7180700169025002, 1770076012480170267, 
0.32437029480934143, -5.656999111175537, 0.7412213994934939, 1770076012531153167, 
0.33754003047943115, -5.643953800201416, 0.7637339693728212, 1770076012580466667, 
0.35094234347343445, -5.630669116973877, 0.7885597244607025, 1770076012632014620, 
0.3615066409111023, -5.619364261627197, 0.8053603288503205, 1770076012671070420, 
0.3745916485786438, -5.604966163635254, 0.8267041803468701, 1770076012719975342, 
0.38724586367607117, -5.590483665466309, 0.8484162466729777, 1770076012770089480, 
0.3992948532104492, -5.575839519500732, 0.8714430722856222, 1770076012821278840, 
0.41367340087890625, -5.557958602905273, 0.8992277972749172, 1770076012880976664, 
0.4250328838825226, -5.542636871337891, 0.9206696001621242, 1770076012930017381, 
0.4362058639526367, -5.527456283569336, 0.9439020837571269, 1770076012980933208, 
0.4469228982925415, -5.511716365814209, 0.9680556083007883, 1770076013032478002, 
0.45526865124702454, -5.4989423751831055, 0.9855977064983283, 1770076013071091516, 
0.46536991000175476, -5.4826202392578125, 1.007072458904885, 1770076013121000466, 
0.4748261868953705, -5.4662065505981445, 1.0276661578581952, 1770076013169981017, 
0.4842458665370941, -5.449835777282715, 1.0505307863743536, 1770076013221065265, 
0.4929046034812927, -5.433166027069092, 1.074175504460159, 1770076013271392103, 
0.5030021071434021, -5.4130706787109375, 1.1036173927134751, 1770076013330307705, 
0.5102398991584778, -5.397348403930664, 1.123585620219278, 1770076013375028314, 
0.5178284049034119, -5.380300045013428, 1.1458667969789316, 1770076013425987697, 
0.525138258934021, -5.36308479309082, 1.1659371374983385, 1770076013475052524, 
0.5318312644958496, -5.345770835876465, 1.1878350245249776, 1770076013524996465, 
0.5377181172370911, -5.330923557281494, 1.2067935388873814, 1770076013565999176, 
0.5437857508659363, -5.313078880310059, 1.2286868704553207, 1770076013617378874, 
0.5498006939888, -5.295097827911377, 1.2519392149317852, 1770076013666851916, 
0.5548547506332397, -5.277871608734131, 1.2736363021090058, 1770076013715106123, 
0.5609011054039001, -5.255486965179443, 1.301224333081201, 1770076013775625969, 
