x, y, th, stamp, 
0.6653058528900146, -2.7805228233337402, -1.94912898456849, 1770075779319919876, 
0.6653058528900146, -2.7805228233337402, -1.9491289831648075, 1770075779366904121, 
0.6653058528900146, -2.7805228233337402, -1.9491289811952963, 1770075779417068262, 
0.6653059124946594, -2.7805228233337402, -1.9491292964002755, 1770075779478734468, 
0.6653059124946594, -2.7805228233337402, -1.9491289351725727, 1770075779526182938, 
0.6653059124946594, -2.7805228233337402, -1.9491289286684623, 1770075779576222269, 
0.6653059124946594, -2.7805228233337402, -1.949128925967712, 1770075779619038171, 
0.6653059124946594, -2.7805228233337402, -1.9491289215642886, 1770075779667970562, 
0.6653059124946594, -2.7805228233337402, -1.949128418349132, 1770075779717987815, 
0.6653059124946594, -2.7805228233337402, -1.9491285667698068, 1770075779765886383, 
0.6653059124946594, -2.7805228233337402, -1.9491285609407278, 1770075779829130628, 
0.6651085615158081, -2.7808666229248047, -1.947680880651026, 1770075779878717016, 
0.6645513772964478, -2.7820634841918945, -1.945912086150829, 1770075779909188786, 
0.6637964844703674, -2.785050630569458, -1.9438882043118464, 1770075779976481094, 
0.6628206968307495, -2.787510395050049, -1.9430642172021424, 1770075780018848828, 
0.661441445350647, -2.7911760807037354, -1.941248403953424, 1770075780068868016, 
0.6596195101737976, -2.7952775955200195, -1.941876060487716, 1770075780117844657, 
0.6582449078559875, -2.7997219562530518, -1.9384244096251262, 1770075780169939448, 
0.6567090153694153, -2.80336856842041, -1.9371856112073902, 1770075780215506167, 
0.6545866131782532, -2.8090195655822754, -1.9405913519838676, 1770075780278738024, 
0.6532268524169922, -2.812191963195801, -1.9434557113548934, 1770075780308939080, 
0.6501659750938416, -2.8202130794525146, -1.944778619492098, 1770075780375499977, 
0.6480700373649597, -2.825812578201294, -1.9443187580066648, 1770075780418839071, 
0.6453235149383545, -2.8327035903930664, -1.9438614083256003, 1770075780467849841, 
0.6423446536064148, -2.8405096530914307, -1.9438614083256003, 1770075780517833692, 
0.6394753456115723, -2.8480489253997803, -1.945587007658529, 1770075780568941263, 
0.6370924711227417, -2.8545291423797607, -1.946857916686948, 1770075780614742294, 
0.6333763599395752, -2.863624334335327, -1.9468574544314432, 1770075780677769193, 
0.6316395401954651, -2.8680777549743652, -1.9473572336771976, 1770075780708071664, 
0.627170205116272, -2.8802971839904785, -1.9453582781645993, 1770075780774786817, 
0.6236696243286133, -2.8895070552825928, -1.9451536237293965, 1770075780818679951, 
0.6195371150970459, -2.9000418186187744, -1.9446726333863278, 1770075780867858146, 
0.615430474281311, -2.910733938217163, -1.9435238452796388, 1770075780918845573, 
0.6116139888763428, -2.920889139175415, -1.9434384400115607, 1770075780969018275, 
0.6083140969276428, -2.929539442062378, -1.9434853171177429, 1770075781014785736, 
0.6050340533256531, -2.938039779663086, -1.9430677305818176, 1770075781058890328, 
0.5995460748672485, -2.951597213745117, -1.9431034529740387, 1770075781128929836, 
0.5962740182876587, -2.960397243499756, -1.9439311607707381, 1770075781173943656, 
0.5928266048431396, -2.9692909717559814, -1.9439311248752071, 1770075781219040538, 
0.5887780785560608, -2.9794139862060547, -1.9426551585446212, 1770075781268914694, 
0.5858597755432129, -2.987542152404785, -1.9434259444630582, 1770075781318952873, 
0.5839160680770874, -2.9924094676971436, -1.9429363718035415, 1770075781368108680, 
