x, y, theta, stamp, 
3.7274736541803577e-07, -4.291723882943188e-07, 4.291653674306771e-06, 1770944517412439728, 
3.7274736541803577e-07, -4.291723882943188e-07, 4.2916468238446645e-06, 1770944517461475146, 
3.7274736541803577e-07, -4.291723882943188e-07, 4.291644083857415e-06, 1770944517511528043, 
3.7274736541803577e-07, -4.291723882943188e-07, 4.291642412500987e-06, 1770944517561063310, 
0.003941220697015524, 5.5648259149165824e-05, 0.002255800081248857, 1770944517671315248, 
0.015813982114195824, 0.0002615288249216974, 0.007863005475371672, 1770944517761570253, 
0.03676772117614746, 0.0006760298274457455, 0.01904687039864488, 1770944517861382718, 
0.06147873029112816, 0.0014640834415331483, 0.03542730321803975, 1770944517972842984, 
0.07884684950113297, 0.0025129038840532303, 0.043411632515209624, 1770944518052355149, 
0.10258591920137405, 0.0038579364772886038, 0.0592484931777677, 1770944518161470586, 
0.12460752576589584, 0.0056739202700555325, 0.08176217399601322, 1770944518261395783, 
0.14621137082576752, 0.007979171350598335, 0.11527580544496643, 1770944518361620899, 
0.1653631627559662, 0.010735686868429184, 0.14524440891335746, 1770944518452165677, 
0.18879717588424683, 0.014929505065083504, 0.18438170900784243, 1770944518561391409, 
0.2101864516735077, 0.01956818625330925, 0.22958852948271968, 1770944518661392352, 
0.2312057912349701, 0.02478867582976818, 0.27864434708719055, 1770944518761608403, 
0.2538299560546875, 0.03184795379638672, 0.32826775258607416, 1770944518871431843, 
0.2720416784286499, 0.03847420588135719, 0.36463887458426414, 1770944518961608182, 
0.2920810282230377, 0.04681912437081337, 0.4052513065128705, 1770944519061472000, 
0.31161487102508545, 0.05579277127981186, 0.4439625259671628, 1770944519161569121, 
0.33282470703125, 0.06668923050165176, 0.4821685477569531, 1770944519271066180, 
0.34958595037460327, 0.07599572837352753, 0.5159681542420052, 1770944519361413689, 
0.36828213930130005, 0.08735336363315582, 0.5541608881837796, 1770944519462473704, 
0.3864271342754364, 0.09946393966674805, 0.5860395136077424, 1770944519561698962, 
0.4027240574359894, 0.11090198159217834, 0.6094743273458388, 1770944519652908102, 
0.42182475328445435, 0.12534099817276, 0.6360087959432569, 1770944519762717272, 
0.43910905718803406, 0.13892225921154022, 0.6575127178241583, 1770944519863597100, 
0.4559544324874878, 0.15276223421096802, 0.6814288847288617, 1770944519961426148, 
0.4742272198200226, 0.16864532232284546, 0.705302080254478, 1770944520071260512, 
0.4886891841888428, 0.1814534217119217, 0.7207459144951087, 1770944520161411970, 
0.5047603249549866, 0.19603700935840607, 0.7399848782054222, 1770944520263404219, 
0.5220000743865967, 0.21261975169181824, 0.7603060149259446, 1770944520372793466, 
0.5374437570571899, 0.22783444821834564, 0.7771922958249751, 1770944520471254534, 
0.5511171221733093, 0.2419542670249939, 0.8012338752725328, 1770944520562594568, 
0.5658063888549805, 0.25805234909057617, 0.8212078596544365, 1770944520663403633, 
0.5804430246353149, 0.27419179677963257, 0.8363380690497966, 1770944520761557397, 
0.5958771109580994, 0.2924330532550812, 0.8614908803716457, 1770944520871358115, 
0.6080803871154785, 0.30763956904411316, 0.883589943230398, 1770944520961681620, 
0.6216232180595398, 0.3249744176864624, 0.9003989483952214, 1770944521063365608, 
0.635023295879364, 0.3420575261116028, 0.9110056813529509, 1770944521161516548, 
0.6468830704689026, 0.35789382457733154, 0.9218032761693592, 1770944521252213448, 
0.6610536575317383, 0.37702640891075134, 0.9342862636506974, 1770944521361423000, 
0.6739524006843567, 0.3947274684906006, 0.9390006189868415, 1770944521463404275, 
0.686644971370697, 0.41229838132858276, 0.9508131364040484, 1770944521561680120, 
0.7001854181289673, 0.4319579005241394, 0.9679982662258109, 1770944521671566415, 
0.7111474275588989, 0.4483145773410797, 0.9740635363488324, 1770944521762445851, 
0.72340989112854, 0.46655943989753723, 0.9804112424515604, 1770944521863584366, 
0.7351344227790833, 0.48454058170318604, 0.9887316082784601, 1770944521961632807, 
0.7483549118041992, 0.5049545764923096, 0.9982611035207339, 1770944522071867011, 
0.7585134506225586, 0.521509051322937, 1.0065336989535778, 1770944522161489779, 
0.7700978517532349, 0.5398432016372681, 1.009735623309243, 1770944522263606123, 
0.7815342545509338, 0.5580514073371887, 1.0140094305869674, 1770944522361759914, 
0.7942670583724976, 0.5786148905754089, 1.019955625493388, 1770944522471465361, 
0.8042594790458679, 0.5953077077865601, 1.0317439243263835, 1770944522561584191, 
0.8154835104942322, 0.6142765879631042, 1.0366691496432885, 1770944522663442845, 
0.8264959454536438, 0.6329920291900635, 1.0413643261248104, 1770944522761424185, 
0.8382568955421448, 0.6534172296524048, 1.0539060810838279, 1770944522870690976, 
0.84812992811203, 0.670996367931366, 1.0626799935892504, 1770944522962500102, 
0.8587496280670166, 0.6901339888572693, 1.0663553984752714, 1770944523064856424, 
0.8689143061637878, 0.7085636854171753, 1.0692339967542064, 1770944523160435610, 
0.8804405927658081, 0.729947566986084, 1.077018478832015, 1770944523270700036, 
0.8897868990898132, 0.7474504709243774, 1.0823759726869768, 1770944523362446659, 
0.8999907374382019, 0.7667680978775024, 1.0895422969013435, 1770944523464488299, 
0.9096522331237793, 0.7856868505477905, 1.0976645854264466, 1770944523560449065, 
0.9186883568763733, 0.8035485744476318, 1.1053240176477086, 1770944523652964139, 
0.9293556809425354, 0.8250742554664612, 1.1149441935103874, 1770944523762550730, 
0.9389672875404358, 0.844689130783081, 1.1164810436608354, 1770944523864613574, 
0.9493964314460754, 0.866229772567749, 1.1194423619804088, 1770944523972906856, 
0.9586196541786194, 0.885094165802002, 1.1189520402260078, 1770944524070222505, 
0.9673647880554199, 0.903228223323822, 1.1194716163821739, 1770944524163446990, 
0.9767013788223267, 0.9228392839431763, 1.1204069280651554, 1770944524264630523, 
0.9859185814857483, 0.9418202042579651, 1.123672851037965, 1770944524360500003, 
0.996256947517395, 0.9635237455368042, 1.1271980767488408, 1770944524470415883, 
1.004639744758606, 0.9815787076950073, 1.1291467248431293, 1770944524563629032, 
1.0137742757797241, 1.0011661052703857, 1.1341601992965753, 1770944524664477065, 
1.0227940082550049, 1.0204923152923584, 1.1389431719207683, 1770944524760085243, 
1.0332839488983154, 1.0428133010864258, 1.1447144146379582, 1770944524871452667, 
1.0415345430374146, 1.0609663724899292, 1.1476043671770677, 1770944524963609917, 
1.0503672361373901, 1.0810039043426514, 1.1485388539087944, 1770944525064462447, 
1.0591764450073242, 1.1003912687301636, 1.1500036552303958, 1770944525160583318, 
1.0689371824264526, 1.1225697994232178, 1.153584441873645, 1770944525270155332, 
1.0770386457443237, 1.1411552429199219, 1.155090319174949, 1770944525363472997, 
1.0857670307159424, 1.1611547470092773, 1.1568591562591068, 1770944525464580552, 
1.0955015420913696, 1.1830689907073975, 1.1570802105454214, 1770944525573839799, 
1.102527141571045, 1.1989986896514893, 1.1575740583391587, 1770944525653351173, 
1.1119705438613892, 1.2206789255142212, 1.1592783240634963, 1770944525763496548, 
1.1208930015563965, 1.2406328916549683, 1.1619757761315523, 1770944525864698264, 
1.129149317741394, 1.26028311252594, 1.164196890121805, 1770944525960737607, 
1.1372404098510742, 1.2786616086959839, 1.1640497613328864, 1770944526053854157, 
1.1468026638031006, 1.3006036281585693, 1.165833467378344, 1770944526162938008, 
1.1554105281829834, 1.3208578824996948, 1.166175100386685, 1770944526264645263, 
1.1640533208847046, 1.3407135009765625, 1.1684869002807805, 1770944526360968633, 
1.1733373403549194, 1.362511396408081, 1.1708178615409592, 1770944526470830958, 
1.1810400485992432, 1.3808592557907104, 1.173937999356618, 1770944526563591911, 
1.1895471811294556, 1.4009076356887817, 1.1777090604650886, 1770944526664479888, 
1.197882890701294, 1.4207690954208374, 1.1801877720619265, 1770944526761611231, 
1.2070014476776123, 1.4428439140319824, 1.184057985584816, 1770944526871113700, 
1.2144356966018677, 1.4616931676864624, 1.185893715280251, 1770944526963511987, 
1.2225021123886108, 1.481834888458252, 1.1889800939790307, 1770944527064556835, 
1.2302513122558594, 1.5016183853149414, 1.1923779869597777, 1770944527161462520, 
1.2376973628997803, 1.5202149152755737, 1.1932024163462882, 1770944527253166776, 
1.2464367151260376, 1.5426089763641357, 1.1950972846521477, 1770944527363554073, 
1.2545604705810547, 1.5631591081619263, 1.196128147265547, 1770944527464589682, 
1.262352705001831, 1.5828336477279663, 1.198245884484195, 1770944527560047515, 
1.269727110862732, 1.601931095123291, 1.2003115746213833, 1770944527653571774, 
1.2781404256820679, 1.6239755153656006, 1.202346583175681, 1770944527763176721, 
1.285880446434021, 1.6439838409423828, 1.2033661712225892, 1770944527864809286, 
1.2936348915100098, 1.6638565063476562, 1.2053829493002817, 1770944527961493107, 
1.300622582435608, 1.6825069189071655, 1.2065163880494276, 1770944528053751092, 
1.3093243837356567, 1.7052005529403687, 1.2087097708174173, 1770944528163556579, 
1.3171578645706177, 1.7253172397613525, 1.2094012738013993, 1770944528264482823, 
1.3244283199310303, 1.745033860206604, 1.210997583193558, 1770944528360220774, 
1.3330878019332886, 1.7679054737091064, 1.2141502362256311, 1770944528471396294, 
1.3403353691101074, 1.7864359617233276, 1.2143529732439777, 1770944528563509600, 
1.3477740287780762, 1.8070400953292847, 1.217127818514383, 1770944528664500784, 
1.355239987373352, 1.8267546892166138, 1.219888147662158, 1770944528760612996, 
1.3620938062667847, 1.8459264039993286, 1.2213509639496962, 1770944528852919074, 
1.3704071044921875, 1.8682841062545776, 1.2232057522148272, 1770944528963515791, 
1.3774582147598267, 1.8887364864349365, 1.224768660828401, 1770944529064512606, 
1.3849389553070068, 1.9091548919677734, 1.2273351583970364, 1770944529160676821, 
1.3930600881576538, 1.9316505193710327, 1.228567432344204, 1770944529271097004, 
1.3993936777114868, 1.9503134489059448, 1.229944693960735, 1770944529363653306, 
1.4066070318222046, 1.9710378646850586, 1.2310613467256735, 1770944529464513076, 
