e, e_dot, e_int, stamp, 
0.1488888187068537, 6.481533504684235e-11, 0.014753142167595344, 1770944517511528043, 
0.14888881870852505, 2.9494114592788307e-11, 0.014827564095108941, 1770944517561063310, 
0.15021809267789277, 0.004018898283335092, 0.023861328521179413, 1770944517671315248, 
0.15637289446121133, 0.026750054227810755, 0.03044228782291388, 1770944517761570253, 
0.21735652922092613, 0.2263918736149675, 0.03319512628244486, 1770944517861382718, 
0.23590678661322015, 0.25913716099345224, 0.042933169021863504, 1770944517972842984, 
0.2936977121360992, 0.2977493312748096, 0.04754965445791226, 1770944518052355149, 
0.3193642414347691, 0.3206807649692514, 0.05337964587796188, 1770944518161470586, 
0.34373784548561037, 0.15971404331635483, 0.06667001220194631, 1770944518261395783, 
0.3746826670631235, 0.1842238872892729, 0.0692376477788087, 1770944518361620899, 
0.3868447279318482, 0.14769137199638108, 0.07028377758945505, 1770944518452165677, 
0.4040585858300234, 0.09730662585027265, 0.07761656861275316, 1770944518561391409, 
0.40502692729068457, 0.055760749286416306, 0.08340683595579163, 1770944518661392352, 
0.40968183140047687, 0.01871067051178706, 0.08133931136846466, 1770944518761608403, 
0.3915427141133074, -0.03957249490907672, 0.084453481788617, 1770944518871431843, 
0.39498168529935074, -0.04234336762110293, 0.07974699393368333, 1770944518961608182, 
0.3730101883905527, -0.06062617308321581, 0.07345271170435082, 1770944519061472000, 
0.37061824072480365, -0.08130361923958375, 0.07589251587775407, 1770944519161569121, 
0.37675888311045497, 0.010728054589002124, 0.07827555332945763, 1770944519271066180, 
0.3420176955552041, -0.10948267246891791, 0.0725698790208417, 1770944519361413689, 
0.3359228261534287, -0.14827928493729264, 0.06729246721356509, 1770944519462473704, 
0.33840982422454713, -0.011748413988039436, 0.06785333549962379, 1770944519561698962, 
0.3059778097806617, -0.11017146477294464, 0.06222827744447105, 1770944519652908102, 
0.3084606166483571, -0.11098945384211335, 0.06384664834427874, 1770944519762717272, 
0.31753767966773383, 0.03752972204173547, 0.06545237065115551, 1770944519863597100, 
0.28195522429185194, -0.09124726226054754, 0.060139474513415725, 1770944519961426148, 
0.28402128877181954, -0.11497000919522193, 0.061157857271009745, 1770944520071260512, 
0.29258280826125316, 0.03792630158913236, 0.05723323053697573, 1770944520161411970, 
0.26054852241058357, -0.07303910595172435, 0.053617869208221466, 1770944520263404219, 
0.2628441508946193, -0.09769987456866154, 0.05749403933094596, 1770944520372793466, 
0.2693658013275957, 0.029073899464062178, 0.0549250328904489, 1770944520471254534, 
0.2684953974656308, 0.01890218617198579, 0.050658252582682826, 1770944520562594568, 
0.22508939923255866, -0.1467018700145358, 0.048866756664055266, 1770944520663403633, 
0.22855194484741226, -0.13176653056454854, 0.04789278967425159, 1770944520761557397, 
0.2242716417691244, -0.0012352402534517696, 0.04699168127110732, 1770944520871358115, 
0.1791175290004956, -0.179632629019571, 0.042155574914870576, 1770944520961681620, 
0.1748959616388025, -0.18047731939655262, 0.03701169283763809, 1770944521063365608, 
0.17903445134543639, 0.00021600157805126696, 0.035507199035689205, 1770944521161516548, 
0.18216842593274551, 0.025572972874243916, 0.03374703591866014, 1770944521252213448, 
0.15042789847769078, -0.08536145803454266, 0.03409276437178805, 1770944521361423000, 
0.15708343795286972, -0.0751254600511033, 0.034471957992890025, 1770944521463404275, 
0.1580789589681133, 0.025130744165395735, 0.031079257218829225, 1770944521561680120, 
0.15545634415195697, -0.004578919549086979, 0.03265500142194969, 1770944521671566415, 
0.1279635698163375, -0.10879527467797807, 0.02954594798691801, 1770944521762445851, 
0.13106081057793617, -0.0906318163516026, 0.026529246485454204, 1770944521863584366, 
0.13234390190087186, 0.01457001723566686, 0.025985152275106244, 1770944521961632807, 
0.13544051630877563, 0.013725843454675332, 0.027690846399169352, 1770944522071867011, 
0.10829488490184747, -0.09159881335005358, 0.02505402358391119, 1770944522161489779, 
0.11285838760559797, -0.0860661405052281, 0.022790992137445915, 1770944522263606123, 
0.11726377733403304, 0.029857257085050964, 0.022591609419351545, 1770944522361759914, 
0.12221678642829903, 0.030010257930322536, 0.024412301983019, 1770944522471465361, 
0.09607114612692902, -0.08165860088757047, 0.02235045927491178, 1770944522561584191, 
0.09746517223042139, -0.09214605542175615, 0.020205828873979113, 1770944522663442845, 
0.09973237474100283, 0.012275004369730254, 0.019535604623054256, 1770944522761424185, 
0.09518588467576405, -0.006156649763986628, 0.020198639914748677, 1770944522870690976, 
0.07565282763983627, -0.08478877439223435, 0.018135109814531102, 1770944522962500102, 
0.07673827782980269, -0.06738420855731776, 0.016023632402024587, 1770944523064856424, 
0.07888147302888515, 0.01100928821414567, 0.015259018437191747, 1770944523160435610, 
0.07698888483852317, 0.001753051633009331, 0.015960333918102018, 1770944523270700036, 
0.07693194611261722, -0.005928231771871785, 0.01567621254554061, 1770944523362446659, 
0.06105386159674664, -0.052074860210391066, 0.013886524085938027, 1770944523464488299, 
0.0561154530898238, -0.0690222532328906, 0.012810838881957548, 1770944523560449065, 
0.05160172815235908, -0.03341728768537589, 0.010603088022247742, 1770944523652964139, 
0.045650735070894566, -0.03436436717599458, 0.01033197041481787, 1770944523762550730, 
0.04764764253448672, -0.011579518809480332, 0.010222675171688666, 1770944523864613574, 
0.03844531887736924, -0.02180349084728618, 0.009237697872343742, 1770944523972906856, 
0.04141428804389902, -0.018155763707244355, 0.008738876418449372, 1770944524070222505, 
0.043238369405095955, 0.016691732983040764, 0.00781836830145142, 1770944524163446990, 
0.044821904157916315, 0.01173889038776277, 0.00839029763447284, 1770944524264630523, 
0.04492123019398675, 0.005562059322677375, 0.008734801996195824, 1770944524360500003, 
0.03895104365448643, -0.017759968390129218, 0.008827792583649647, 1770944524470415883, 
0.03861504465892107, -0.01930686362169211, 0.008293576691073574, 1770944524563629032, 
0.03566514807709087, -0.010951846448171187, 0.0073245958577538425, 1770944524664477065, 
0.03320454113680604, -0.01832909106428533, 0.007038681185665726, 1770944524760085243, 
0.030742767906790425, -0.015947110569914713, 0.006872449426417816, 1770944524871452667, 
0.027199254754056268, -0.020185230935261728, 0.006183524894379159, 1770944524963609917, 
0.02734517559777805, -0.012334617473264116, 0.0054870877909045145, 1770944525064462447, 
0.027709077914137126, 0.0017442519446897627, 0.005400584422443336, 1770944525160583318, 
0.025645587238216416, -0.005015465334845912, 0.005533127687645044, 1770944525270155332, 
0.025363271832919754, -0.007285864740009939, 0.0053236856554947755, 1770944525363472997, 
0.025519686577454737, -0.0004927674559747977, 0.004959693108002443, 1770944525464580552, 
0.027031516709054015, 0.0051280347711620535, 0.005463539653460915, 1770944525573839799, 
0.027810886622443576, 0.00787969455550445, 0.005056667205656921, 1770944525653351173, 
0.027734764107900878, 0.0030369610928103184, 0.005220439039394989, 1770944525763496548, 
0.02734992873036224, -0.001497922045848664, 0.005839913191926569, 1770944525864698264, 
0.026195960699165743, -0.005272744236209256, 0.005343960726644855, 1770944525960737607, 
0.02996731001946662, 0.009495269926855522, 0.005265671273020561, 1770944526053854157, 
0.030139476093800743, 0.014026558991983766, 0.005816816670958482, 1770944526162938008, 
0.03129864586294695, 0.004325136974258187, 0.006422484033557993, 1770944526264645263, 
0.031137050307243674, 0.0032398279224838127, 0.006110906407640292, 1770944526360968633, 
0.030929314601887414, -0.001189503012758106, 0.0064168432115744665, 1770944526470830958, 
0.03146465001897192, 0.0012934186309614588, 0.006317186946466389, 1770944526563591911, 
0.02942691476061232, -0.0048089566977824565, 0.0059270050146270166, 1770944526664479888, 
0.028638024737527967, -0.009439962792360352, 0.005909529478685896, 1770944526761611231, 
0.026519372243352324, -0.009156625908670182, 0.005825992923513659, 1770944526871113700, 
0.02549609668546471, -0.010140868152829606, 0.005428000448425423, 1770944526963511987, 
0.02369303793908517, -0.009639586467014615, 0.004881763638232011, 1770944527064556835, 
0.023755432368339324, -0.005733425235250523, 0.004813138638565542, 1770944527161462520, 
0.02404995204826399, 0.0012851641900402727, 0.004495104407366495, 1770944527253166776, 
0.0231566927063922, -0.0016268077797950318, 0.004780278789963978, 1770944527363554073, 
0.02337621175486393, -0.0019731194710992756, 0.004974277545674587, 1770944527464589682, 
0.02261869239239145, -0.0019209846356970815, 0.004529278428523195, 1770944527560047515, 
0.021550926728681086, -0.006450878417260465, 0.004254984141604221, 1770944527653571774, 
0.02054940797952698, -0.00685150792808992, 0.004382108196012421, 1770944527763176721, 
0.023702751393467114, 0.007296455826711654, 0.004633360063346548, 1770944527864809286, 
0.02298253935707839, 0.007859250801877275, 0.004444580821982255, 1770944527961493107, 
0.02256606764999103, -0.003987785045115482, 0.0043614922413835475, 1770944528053751092, 
0.02178201134542701, -0.0038848728948318884, 0.0045350195054041165, 1770944528163556579, 
0.02276551975923824, 0.0008681374404464016, 0.0047143216130693865, 1770944528264482823, 
0.021981641192467594, 0.0005190238805871713, 0.004361302037943976, 1770944528360220774, 
0.02334006447070114, 0.0013436582991474145, 0.004696054714303223, 1770944528471396294, 
0.02474067360858645, 0.00914133742980963, 0.004747632942973949, 1770944528563509600, 
0.02265621322167677, -0.0018115791747343544, 0.00455320763504252, 1770944528664500784, 
0.021356610323606695, -0.01138724941429326, 0.004517182591968031, 1770944528760612996, 
0.020551168433526668, -0.00741583268567892, 0.00405501232140704, 1770944528852919074, 
0.020299504225027354, -0.003667095181170177, 0.0042073438621454485, 1770944528963515791, 
0.019003454351855575, -0.005036031367175707, 0.004221582046303056, 1770944529064512606, 
-0.1075234001299934, -0.44285666146192587, -0.00448347084122202, 1770944529160676821, 
-0.11578692175261818, -0.4635248201998206, -0.014068870412035658, 1770944529271097004, 
-0.12483082049284033, -0.05751648716144566, -0.023554821787751257, 1770944529363653306, 
-0.1350680320300699, -0.06640395238610045, -0.02422122225555045, 1770944529464513076, 
-0.14457708510861922, -0.06680633631666649, -0.026559093111150053, 1770944529560642229, 
-0.15578908483651, -0.06693115193288034, -0.029926925335711986, 1770944529670699856, 
-0.19308019364142415, -0.16777920742220795, -0.03338090534019223, 1770944529763587723, 
