e, e_dot, e_int, stamp, 
1.4142135598134014, 0.0, 0.20085540617304135, 1770937506829161514, 
1.4142135598134014, 0.0, 0.28151999094911906, 1770937506927270704, 
1.414556141510624, 0.0010332649656698888, 0.2950665701622959, 1770937507037788241, 
1.4177726359734217, 0.012898044720019366, 0.2843525430929962, 1770937507128153578, 
1.4231111149224436, 0.029310516930309862, 0.2728686359672555, 1770937507230155171, 
1.4311048411958973, 0.04490195956888507, 0.28344606857428856, 1770937507327203315, 
1.4407469970372446, 0.05650675941529033, 0.2973327261121636, 1770937507437839891, 
1.446745796337821, 0.05094736073264225, 0.29072186898787145, 1770937507529159061, 
1.450862943435741, 0.03549078695789804, 0.2780516543998808, 1770937507630114341, 
1.4516452822038877, 0.01628023023846702, 0.28710018022495803, 1770937507727193146, 
1.44985961242055, -0.0027049131088666568, 0.30101797695072025, 1770937507837600005, 
1.445464360002119, -0.02139654093740494, 0.292614711037968, 1770937507929137094, 
1.4382566366349454, -0.039792920559444396, 0.27812687635653066, 1770937508030138394, 
1.42856616843307, -0.056807441844544414, 0.28579809536516254, 1770937508127962973, 
1.4178180909272862, -0.0717710446566181, 0.2717581847598599, 1770937508220416780, 
1.402878172397323, -0.0849824693026388, 0.2835283998068103, 1770937508328135406, 
1.3877010909681669, -0.0966669903075034, 0.29181747030893607, 1770937508428441911, 
1.3713471657131002, -0.10501976851662131, 0.27770652344455793, 1770937508528311835, 
1.3521315285556303, -0.11286189694878411, 0.2874785974812961, 1770937508638220086, 
1.3358888460979526, -0.11828483081122983, 0.2708069320214988, 1770937508728446656, 
1.3166938562287323, -0.12410030055306524, 0.25370528500768474, 1770937508828275059, 
1.2973697631754546, -0.12815200657732664, 0.26383372405687383, 1770937508928829111, 
1.279887483320631, -0.1280404543541709, 0.24873728155847338, 1770937509019908653, 
1.257874003491553, -0.13170413642301534, 0.25494811598370953, 1770937509128260186, 
1.2375570005794727, -0.13544988947748351, 0.26219010655489927, 1770937509228254074, 
1.2148073803230088, -0.13580282926168488, 0.26143354406638497, 1770937509339648391, 
1.1938581657313934, -0.13866485404960258, 0.2556237563320934, 1770937509438573455, 
1.1751361770369557, -0.14002705846805893, 0.22554002817221339, 1770937509528447922, 
1.154210521051829, -0.13940297276804572, 0.22263095715230252, 1770937509628143150, 
1.1312139722725953, -0.1390549343730509, 0.24298411184622784, 1770937509739093654, 
1.114101322310625, -0.13957883667707618, 0.2174264562410617, 1770937509820016783, 
1.0906688419074038, -0.14225453743343505, 0.2110140614589052, 1770937509928855403, 
1.0692508932945382, -0.14345437291069107, 0.22746340964914294, 1770937510028442513, 
1.0479621482306043, -0.14256168092445232, 0.21355302227417744, 1770937510128569448, 
1.0241596682556244, -0.1428479848109466, 0.2202742774509357, 1770937510238803681, 
1.0053666115738955, -0.14212749266891644, 0.20468482221293394, 1770937510328100488, 
0.9842978321441932, -0.14017848840609967, 0.19046004129959182, 1770937510428390101, 
0.9619920572669024, -0.136889393680236, 0.20808303460957295, 1770937510539591596, 
0.9418422402708512, -0.13481342328938883, 0.20221457157253667, 1770937510638437179, 
0.9241957515651027, -0.1334861687986418, 0.1777894860646511, 1770937510728192300, 
0.9046067373616756, -0.13064207579935802, 0.17551797931116758, 1770937510828484619, 
0.8839672020501598, -0.12706059414440907, 0.19110521774829353, 1770937510939531897, 
0.8690223074410726, -0.124486119172395, 0.16894578081973444, 1770937511019197314, 
0.84958800533082, -0.12126165332475432, 0.16480302724891271, 1770937511129500910, 
0.8313082237753308, -0.12036445096133715, 0.1777840976473979, 1770937511228361758, 
0.8142162342794921, -0.11776237103483449, 0.16664647801062013, 1770937511329868405, 
0.7986561927065895, -0.11422417149385578, 0.1554365327558963, 1770937511419145364, 
0.7799836511227546, -0.11501094897944504, 0.158436809988525, 1770937511528505688, 
0.7637936952455614, -0.11097954239770196, 0.16332849361714558, 1770937511628323329, 
0.7480310158916649, -0.10579724223328486, 0.1538442512395708, 1770937511729889347, 
0.7341951285287758, -0.10242782367974025, 0.14414915950761878, 1770937511820862803, 
0.7169961397034057, -0.10389568814450427, 0.14568862014200146, 1770937511928625902, 
0.7021605477728711, -0.10271626994169009, 0.14903580337010308, 1770937512028496041, 
0.6872457763350762, -0.098900406766061, 0.14080736024932008, 1770937512129167863, 
0.6743243597806831, -0.09633089541378421, 0.13236561683065104, 1770937512220913033, 
0.6590623551652262, -0.09434814464134071, 0.13408229119422924, 1770937512328237647, 
0.6448786300810544, -0.09465274652402855, 0.13675304803081043, 1770937512428296307, 
0.6319325076445629, -0.09003362478601458, 0.12965639840995788, 1770937512529164617, 
0.6173831070318073, -0.08696590056594271, 0.132993221606817, 1770937512638929227, 
0.6057168362533758, -0.0871387073515919, 0.12385150190921178, 1770937512729460038, 
0.5931998511238671, -0.08524237582624546, 0.11454616648243535, 1770937512828126242, 
0.5805407894903508, -0.08404677325098216, 0.11846065102113004, 1770937512929173691, 
0.5695175376094944, -0.08286974987265118, 0.11065445121034052, 1770937513018553201, 
0.5565709792967629, -0.0804915248034624, 0.11318515914064198, 1770937513128136334, 
0.5447926635344035, -0.07833063148064377, 0.11717516387878603, 1770937513228936498, 
0.5334263157098651, -0.0767445228856158, 0.10955568066687135, 1770937513329181759, 
0.5211366884623649, -0.07522673313825218, 0.11178749804602961, 1770937513438622499, 
