e, e_dot, e_int, stamp, 
-2.3561947507918846, 7.310641851740637e-11, -0.3346414340398346, 1770937506829161514, 
-2.35619475079139, 2.7719155765906164e-11, -0.46903518942747807, 1770937506927270704, 
-2.353905786951949, 0.0069037726262938595, -0.49140601935420813, 1770937507037788241, 
-2.3192489642105336, 0.13474343582576379, -0.4706919767676542, 1770937507128153578, 
-2.2395293433310504, 0.38835723139077455, -0.44325727243918367, 1770937507230155171, 
-2.1330340217374766, 0.6262993242136367, -0.4440011613987847, 1770937507327203315, 
-1.974049193354155, 0.8447819629215988, -0.4393648173814994, 1770937507437839891, 
-1.8320422499908373, 0.9973541055124396, -0.3998135046294424, 1770937507529159061, 
-1.6763078260374253, 1.0325565698484664, -0.35137510140030204, 1770937507630114341, 
-1.5271084620884297, 1.0264990609175597, -0.33239747471712566, 1770937507727193146, 
-1.3692641872937874, 0.9888497373784118, -0.3162552149007601, 1770937507837600005, 
-1.2461057578070185, 0.9250361460596496, -0.2788494813508486, 1770937507929137094, 
-1.1216580148437105, 0.8591961355971739, -0.23984044768522458, 1770937508030138394, 
-1.010565027150971, 0.7892582415507684, -0.22389973105719602, 1770937508127962973, 
-0.9113347618255176, 0.7363101081733315, -0.19304108886953733, 1770937508220416780, 
-0.797454341601914, 0.7101660975916723, -0.1814465775021595, 1770937508328135406, 
-0.7122056973138753, 0.6356947315862161, -0.16787592019150976, 1770937508428441911, 
-0.638214245004888, 0.5302532471336082, -0.1433179346987244, 1770937508528311835, 
-0.5645457580091562, 0.4703836027230064, -0.1339060032674626, 1770937508638220086, 
-0.5103799234524806, 0.4235346285969907, -0.11428631751044371, 1770937508728446656, 
-0.4576378440805722, 0.37621956438066234, -0.09709043982256979, 1770937508828275059, 
-0.4108260112182407, 0.3312887960489573, -0.09209870048255368, 1770937508928829111, 
-0.372408566540821, 0.29578001034271734, -0.07926428063087106, 1770937509019908653, 
-0.3324025907438788, 0.2636749775005456, -0.07416423994149919, 1770937509128260186, 
-0.29789562479910137, 0.23810488444945246, -0.06963645555093494, 1770937509228254074, 
-0.2650758494738872, 0.21323925612177996, -0.06309050546915629, 1770937509339648391, 
-0.23944879480525305, 0.18456074717526802, -0.0562548447647964, 1770937509438573455, 
-0.2183343470625636, 0.16466262872016849, -0.04549181284814891, 1770937509528447922, 
-0.19549820405004503, 0.15466406702344845, -0.041280781831612844, 1770937509628143150, 
-0.1744737308292006, 0.13951790181584714, -0.04130806913327693, 1770937509739093654, 
-0.16072705682291444, 0.11978913488319957, -0.033942381189110096, 1770937509820016783, 
-0.14399485713846438, 0.1078690895930195, -0.030311001222881027, 1770937509928855403, 
-0.1319410087336137, 0.09159075631500718, -0.03033726280887913, 1770937510028442513, 
-0.1204666035934383, 0.0785456081732786, -0.026389046874982423, 1770937510128569448, 
-0.10836764203860882, 0.07478514334992481, -0.025297701297952502, 1770937510238803681, 
-0.09832667871207423, 0.07406722121850418, -0.02175958649391462, 1770937510328100488, 
-0.08779145083450102, 0.07249762175702772, -0.01861016772525759, 1770937510428390101, 
-0.0781467686242272, 0.06392654454238879, -0.018629892039883394, 1770937510539591596, 
-0.07138236962562283, 0.05172186380268475, -0.01661616542880221, 1770937510638437179, 
-0.06537077619917264, 0.045137241489071535, -0.013510091718208484, 1770937510728192300, 
-0.05898361889715975, 0.04355437639297819, -0.01239975701642997, 1770937510828484619, 
