x, y, theta, stamp, 
0.0, 0.0, -1.0861136545114259e-14, 1770939226658782285, 
0.0, 0.0, -1.0861136545114259e-14, 1770939226706643935, 
0.0, 0.0, -1.0861136545114259e-14, 1770939226770355454, 
0.0, 0.0, -1.0861136545114259e-14, 1770939226870241305, 
0.00016314495587721467, 1.3268870134197641e-05, -0.0012764952145739683, 1770939226962263388, 
0.004208515398204327, -8.109459304250777e-05, -0.0409896029696609, 1770939227058412079, 
0.013969764113426208, -0.0008390630828216672, -0.13605365758844407, 1770939227170351186, 
0.027003154158592224, -0.0037365793250501156, -0.25633524477817443, 1770939227266274129, 
0.04264982044696808, -0.009680898860096931, -0.4117082551204554, 1770939227363251594, 
0.0588655099272728, -0.018750524148344994, -0.5796555020884732, 1770939227458486774, 
0.07776659727096558, -0.03353501483798027, -0.7547405009945852, 1770939227570240601, 
0.09141281992197037, -0.047627441585063934, -0.8802189785336548, 1770939227666341887, 
0.10370253026485443, -0.06352312117815018, -0.9823659352610382, 1770939227762304510, 
0.11477372795343399, -0.08085941523313522, -1.0653650731198807, 1770939227858810142, 
0.12598159909248352, -0.10208334028720856, -1.1411322948884828, 1770939227970503941, 
0.13427399098873138, -0.1207406297326088, -1.207887648307418, 1770939228066434656, 
0.1416468769311905, -0.14034460484981537, -1.280384868536237, 1770939228162563253, 
0.14735352993011475, -0.16022780537605286, -1.3525315364683068, 1770939228258804452, 
0.15211546421051025, -0.18411844968795776, -1.4433929734499453, 1770939228370360269, 
0.15458619594573975, -0.204875648021698, -1.5214141117944062, 1770939228466283362, 
0.15537826716899872, -0.2255559116601944, -1.5929168674025136, 1770939228562341259, 
0.15473811328411102, -0.24602976441383362, -1.6612935257328516, 1770939228658541320, 
0.15207482874393463, -0.2697831988334656, -1.729226549589809, 1770939228770381026, 
0.1484849601984024, -0.2899618148803711, -1.7847777427652975, 1770939228866280513, 
0.14359313249588013, -0.3100815415382385, -1.8350122695254771, 1770939228962626719, 
0.13780240714550018, -0.32948437333106995, -1.88053726775433, 1770939229058815418, 
0.12986968457698822, -0.351635605096817, -1.9334304691468815, 1770939229170361485, 
0.12179376184940338, -0.3708632290363312, -1.978927012665458, 1770939229267283646, 
0.11351974308490753, -0.3884679973125458, -2.019657079258742, 1770939229362325926, 
0.10438357293605804, -0.4063186049461365, -2.0623511394092255, 1770939229458791520, 
0.09362941980361938, -0.4250939190387726, -2.109742662550211, 1770939229570361544, 
0.08345647156238556, -0.4410114288330078, -2.144800951317642, 1770939229666324669, 
0.07315543293952942, -0.4560346007347107, -2.17812588154332, 1770939229762323871, 
0.06068101525306702, -0.47296634316444397, -2.2157079640401194, 1770939229874990341, 
0.04953750595450401, -0.4866476058959961, -2.24463120406786, 1770939229970242771, 
0.03832155466079712, -0.49999499320983887, -2.273791252975768, 1770939230066268139, 
0.026699267327785492, -0.5127073526382446, -2.299128281955043, 1770939230162372603, 
0.013256196863949299, -0.5269109606742859, -2.3283505104846407, 1770939230274919533, 
0.0014817272312939167, -0.5387790203094482, -2.353917127534636, 1770939230370325275, 
-0.009642794728279114, -0.5498360991477966, -2.3735505052844035, 1770939230466317856, 
-0.02155664749443531, -0.5608075857162476, -2.3938665587724945, 1770939230562416491, 
-0.0334545336663723, -0.5715663433074951, -2.4132164946068, 1770939230658505000, 
-0.04741989076137543, -0.5834237933158875, -2.437853317351427, 1770939230770309541, 
-0.059450045228004456, -0.5930783748626709, -2.4567880106232116, 1770939230866293256, 
-0.07144173979759216, -0.6024922728538513, -2.4735789046341816, 1770939230962401651, 
-0.08530297875404358, -0.6129814386367798, -2.494206871910174, 1770939231074729042, 
-0.09710877388715744, -0.6216620802879333, -2.510373607496063, 1770939231171375490, 
-0.10876289010047913, -0.6297582983970642, -2.5240001129735283, 1770939231266298796, 
-0.12041421234607697, -0.6377912759780884, -2.5399422403857437, 1770939231362401405, 
-0.13219362497329712, -0.6453866362571716, -2.5555875127382786, 1770939231458434876, 
-0.14556214213371277, -0.6538885831832886, -2.5717295740272874, 1770939231570262549, 
-0.15705664455890656, -0.6611456274986267, -2.5858712938171733, 1770939231666305273, 
-0.16852599382400513, -0.667913019657135, -2.597151988089384, 1770939231762392901, 
-0.1798805296421051, -0.6745442748069763, -2.6071881817235774, 1770939231858353581, 
-0.19273754954338074, -0.6820761561393738, -2.613880708294965, 1770939231970302081, 
